0.13, 0, 0, 5, 0.1028533, 0, 1002.413, -2811.316, -2.961042, 0.001233003, 0.03962206, 41.79023, 0.8711591, 0.6355324, 0.2288172
0.4499998, 0.7494679, -0.1043273, 5, 0.09887025, 0.0865112558305751524021015142, 13169.05, -2907.116, -2.961042, 0.001233003, 0.03962206, 151.6723, 0.8662878, 0.6219145, 0.2379812
 
0.4599998, 0.7850181, -0.09683259, 5, 0.09883257, 0.0712815360272601119786532051, 13762.03, -2910.197, -2.961042, 0.001233003, 0.03962206, 155.0597, 0.867133, 0.6214889, 0.2382676
 
0.4699998, 0.810283, -0.08898241, 5, 0.09879434, 0.0575419674174459432421404152, 14367.44, -2913.282, -2.961042, 0.001233003, 0.03962206, 158.4444, 0.8679001, 0.6210634, 0.2385539
 
0.4799998, 0.8246183, -0.08087958, 5, 0.09875686, 0.0452805566412704047747688573, 14985.25, -2916.373, -2.961042, 0.001233003, 0.03962206, 161.8264, 0.8685882, 0.6206378, 0.2388403
 
0.4899998, 0.8276066, -0.0726334, 5, 0.09871881, 0.0344737516194563482865680525, 15615.38, -2919.469, -2.961042, 0.001233003, 0.03962206, 165.2054, 0.8691975, 0.6202123, 0.2391267
 
0.4999998, 0.8191026, -0.06435733, 5, 0.09867887, 0.0250848116516330255993484339, 16257.78, -2922.571, -2.961042, 0.001233003, 0.03962206, 168.5815, 0.869729, 0.6197867, 0.239413
 
0.5099998, 0.7992179, -0.05616631, 5, 0.09863969, 0.0170654373180147816627442433, 16912.38, -2925.677, -2.961042, 0.001233003, 0.03962206, 171.9546, 0.8701846, 0.6193612, 0.2396994
 
0.5199998, 0.7683712, -0.04817413, 5, 0.09859863, 0.0103540550078834797209298589, 17579.12, -2928.79, -2.961042, 0.001233003, 0.03962206, 175.3246, 0.870567, 0.6189355, 0.2399858
 
0.5299998, 0.7272955, -0.04049041, 5, 0.09855831, 0.0048761415416729756982455098, 18257.95, -2931.907, -2.961042, 0.001233003, 0.03962206, 178.6913, 0.8708799, 0.61851, 0.2402722
 
0.5399998, 0.6769586, -0.03321746, 5, 0.09851608, 0.0005478850659676519918950038, 18948.79, -2935.029, -2.961042, 0.001233003, 0.03962206, 182.0548, 0.8711277, 0.6180844, 0.2405585
 
0.5499998, 0.6185045, -0.02644787, 5, 0.09847463, -0.0027244254805018813582129398, 19651.58, -2938.157, -2.961042, 0.001233003, 0.03962206, 185.415, 0.871003, 0.6176589, 0.2408449
 
0.5599998, 0.5533547, -0.02026283, 5, 0.09843125, -0.0050425096809100222768288843, 20366.25, -2941.29, -2.961042, 0.001233003, 0.03962206, 188.7717, 0.8708705, 0.6172333, 0.2411313
 
0.5699998, 0.4833843, -0.01472928, 5, 0.09838867, -0.0065176413304292079517637218, 21092.74, -2944.428, -2.961042, 0.001233003, 0.03962206, 192.1249, 0.8707861, 0.6168078, 0.2414176
 
0.5799997, 0.4104118, -0.00989544, 5, 0.09834415, -0.0072619223501106052198390483, 21830.96, -2947.572, -2.961042, 0.001233003, 0.03962206, 195.4745, 0.8707436, 0.6163822, 0.241704
 
0.5899997, 0.3363297, -0.005791322, 5, 0.09830043, -0.0073914017395739050705341101, 22580.86, -2950.721, -2.961042, 0.001233003, 0.03962206, 198.8205, 0.8707362, 0.6159566, 0.2419904
 
0.5999997, 0.263006, -0.002428025, 5, 0.09825473, -0.0070217957268456657835992161, 23342.36, -2953.875, -2.961042, 0.001233003, 0.03962206, 202.1628, 0.8707573, 0.6155311, 0.2422768
 
